param n := 100 ;
param m := 30 ;
param D := 
[1,1]    0	[1,2]    0	[1,3]    4	[1,4]    4	[1,5]    3	[1,6]    3	[1,7]    5	[1,8]    1	[1,9]    3	[1,10]    4	[1,11]    6	[1,12]    7	[1,13]    4	[1,14]    3	[1,15]    9	[1,16]    8	[1,17]    7	[1,18]    3	[1,19]    9	[1,20]    5	[1,21]    0	[1,22]    1	[1,23]    6	[1,24]    0	[1,25]    3	[1,26]    8	[1,27]    6	[1,28]    9	[1,29]    8	[1,30]    4	[1,31]    9	[1,32]    0	[1,33]    8	[1,34]    8	[1,35]    2	[1,36]    2	[1,37]    1	[1,38]    5	[1,39]    1	[1,40]    8	[1,41]    9	[1,42]    0	[1,43]    3	[1,44]    7	[1,45]    7	[1,46]    3	[1,47]    1	[1,48]    2	[1,49]    1	[1,50]    9	[1,51]    4	[1,52]    8	[1,53]    3	[1,54]    0	[1,55]    8	[1,56]    6	[1,57]    5	[1,58]    5	[1,59]    3	[1,60]    4	[1,61]    3	[1,62]    3	[1,63]    3	[1,64]    1	[1,65]    2	[1,66]    7	[1,67]    9	[1,68]    8	[1,69]    8	[1,70]    6	[1,71]    7	[1,72]    5	[1,73]    7	[1,74]    0	[1,75]    3	[1,76]    2	[1,77]    9	[1,78]    5	[1,79]    7	[1,80]    6	[1,81]    7	[1,82]    9	[1,83]    1	[1,84]    0	[1,85]    5	[1,86]    4	[1,87]    0	[1,88]    6	[1,89]    7	[1,90]    4	[1,91]    6	[1,92]    7	[1,93]    4	[1,94]    2	[1,95]    9	[1,96]    5	[1,97]    2	[1,98]    3	[1,99]    0	[1,100]    2	
[2,1]    0	[2,2]    0	[2,3]    6	[2,4]    0	[2,5]    0	[2,6]    4	[2,7]    9	[2,8]    2	[2,9]    7	[2,10]    6	[2,11]    7	[2,12]    8	[2,13]    9	[2,14]    4	[2,15]    9	[2,16]    1	[2,17]    7	[2,18]    5	[2,19]    1	[2,20]    9	[2,21]    7	[2,22]    6	[2,23]    8	[2,24]    9	[2,25]    9	[2,26]    6	[2,27]    3	[2,28]    3	[2,29]    0	[2,30]    3	[2,31]    1	[2,32]    0	[2,33]    5	[2,34]    1	[2,35]    0	[2,36]    1	[2,37]    0	[2,38]    5	[2,39]    9	[2,40]    7	[2,41]    0	[2,42]    7	[2,43]    4	[2,44]    1	[2,45]    2	[2,46]    7	[2,47]    3	[2,48]    5	[2,49]    3	[2,50]    3	[2,51]    1	[2,52]    3	[2,53]    3	[2,54]    1	[2,55]    0	[2,56]    3	[2,57]    3	[2,58]    8	[2,59]    5	[2,60]    2	[2,61]    3	[2,62]    5	[2,63]    1	[2,64]    4	[2,65]    8	[2,66]    8	[2,67]    0	[2,68]    6	[2,69]    9	[2,70]    7	[2,71]    2	[2,72]    9	[2,73]    7	[2,74]    7	[2,75]    1	[2,76]    0	[2,77]    3	[2,78]    2	[2,79]    8	[2,80]    8	[2,81]    3	[2,82]    1	[2,83]    4	[2,84]    4	[2,85]    4	[2,86]    4	[2,87]    6	[2,88]    8	[2,89]    7	[2,90]    8	[2,91]    3	[2,92]    8	[2,93]    0	[2,94]    0	[2,95]    6	[2,96]    0	[2,97]    2	[2,98]    6	[2,99]    5	[2,100]    8	
[3,1]    4	[3,2]    6	[3,3]    0	[3,4]    0	[3,5]    5	[3,6]    9	[3,7]    6	[3,8]    5	[3,9]    4	[3,10]    0	[3,11]    4	[3,12]    2	[3,13]    8	[3,14]    2	[3,15]    1	[3,16]    1	[3,17]    7	[3,18]    3	[3,19]    7	[3,20]    1	[3,21]    1	[3,22]    9	[3,23]    8	[3,24]    4	[3,25]    9	[3,26]    3	[3,27]    1	[3,28]    9	[3,29]    1	[3,30]    6	[3,31]    7	[3,32]    2	[3,33]    4	[3,34]    4	[3,35]    2	[3,36]    8	[3,37]    3	[3,38]    3	[3,39]    0	[3,40]    5	[3,41]    7	[3,42]    3	[3,43]    9	[3,44]    1	[3,45]    7	[3,46]    4	[3,47]    6	[3,48]    4	[3,49]    2	[3,50]    0	[3,51]    3	[3,52]    5	[3,53]    3	[3,54]    5	[3,55]    1	[3,56]    1	[3,57]    2	[3,58]    2	[3,59]    4	[3,60]    8	[3,61]    2	[3,62]    2	[3,63]    1	[3,64]    3	[3,65]    4	[3,66]    1	[3,67]    8	[3,68]    5	[3,69]    9	[3,70]    6	[3,71]    2	[3,72]    3	[3,73]    6	[3,74]    1	[3,75]    1	[3,76]    3	[3,77]    4	[3,78]    2	[3,79]    3	[3,80]    9	[3,81]    9	[3,82]    7	[3,83]    7	[3,84]    7	[3,85]    2	[3,86]    5	[3,87]    4	[3,88]    8	[3,89]    0	[3,90]    2	[3,91]    2	[3,92]    9	[3,93]    2	[3,94]    3	[3,95]    5	[3,96]    7	[3,97]    3	[3,98]    5	[3,99]    3	[3,100]    3	
[4,1]    4	[4,2]    0	[4,3]    0	[4,4]    0	[4,5]    2	[4,6]    7	[4,7]    9	[4,8]    5	[4,9]    5	[4,10]    5	[4,11]    0	[4,12]    4	[4,13]    1	[4,14]    9	[4,15]    4	[4,16]    8	[4,17]    3	[4,18]    4	[4,19]    4	[4,20]    0	[4,21]    3	[4,22]    0	[4,23]    7	[4,24]    7	[4,25]    6	[4,26]    3	[4,27]    8	[4,28]    9	[4,29]    2	[4,30]    0	[4,31]    3	[4,32]    6	[4,33]    6	[4,34]    2	[4,35]    9	[4,36]    0	[4,37]    8	[4,38]    3	[4,39]    3	[4,40]    4	[4,41]    5	[4,42]    3	[4,43]    7	[4,44]    5	[4,45]    8	[4,46]    7	[4,47]    7	[4,48]    8	[4,49]    5	[4,50]    8	[4,51]    9	[4,52]    1	[4,53]    7	[4,54]    2	[4,55]    1	[4,56]    3	[4,57]    9	[4,58]    2	[4,59]    3	[4,60]    1	[4,61]    6	[4,62]    4	[4,63]    3	[4,64]    5	[4,65]    3	[4,66]    8	[4,67]    1	[4,68]    7	[4,69]    4	[4,70]    6	[4,71]    6	[4,72]    3	[4,73]    7	[4,74]    0	[4,75]    9	[4,76]    9	[4,77]    6	[4,78]    3	[4,79]    9	[4,80]    8	[4,81]    6	[4,82]    4	[4,83]    4	[4,84]    4	[4,85]    2	[4,86]    8	[4,87]    7	[4,88]    6	[4,89]    2	[4,90]    9	[4,91]    8	[4,92]    8	[4,93]    4	[4,94]    8	[4,95]    0	[4,96]    6	[4,97]    5	[4,98]    9	[4,99]    9	[4,100]    9	
[5,1]    3	[5,2]    0	[5,3]    5	[5,4]    2	[5,5]    0	[5,6]    3	[5,7]    9	[5,8]    3	[5,9]    3	[5,10]    8	[5,11]    3	[5,12]    9	[5,13]    6	[5,14]    2	[5,15]    9	[5,16]    4	[5,17]    5	[5,18]    0	[5,19]    3	[5,20]    1	[5,21]    0	[5,22]    5	[5,23]    2	[5,24]    9	[5,25]    3	[5,26]    8	[5,27]    0	[5,28]    8	[5,29]    4	[5,30]    0	[5,31]    1	[5,32]    0	[5,33]    8	[5,34]    4	[5,35]    6	[5,36]    4	[5,37]    6	[5,38]    0	[5,39]    7	[5,40]    7	[5,41]    5	[5,42]    7	[5,43]    0	[5,44]    8	[5,45]    3	[5,46]    9	[5,47]    9	[5,48]    2	[5,49]    7	[5,50]    3	[5,51]    9	[5,52]    4	[5,53]    6	[5,54]    8	[5,55]    1	[5,56]    1	[5,57]    4	[5,58]    3	[5,59]    3	[5,60]    0	[5,61]    4	[5,62]    6	[5,63]    2	[5,64]    5	[5,65]    4	[5,66]    1	[5,67]    3	[5,68]    0	[5,69]    8	[5,70]    9	[5,71]    1	[5,72]    6	[5,73]    0	[5,74]    3	[5,75]    8	[5,76]    1	[5,77]    9	[5,78]    1	[5,79]    6	[5,80]    8	[5,81]    8	[5,82]    2	[5,83]    6	[5,84]    5	[5,85]    5	[5,86]    9	[5,87]    9	[5,88]    8	[5,89]    6	[5,90]    9	[5,91]    3	[5,92]    0	[5,93]    8	[5,94]    0	[5,95]    7	[5,96]    0	[5,97]    4	[5,98]    3	[5,99]    7	[5,100]    3	
[6,1]    3	[6,2]    4	[6,3]    9	[6,4]    7	[6,5]    3	[6,6]    0	[6,7]    5	[6,8]    9	[6,9]    3	[6,10]    9	[6,11]    6	[6,12]    5	[6,13]    4	[6,14]    0	[6,15]    3	[6,16]    1	[6,17]    8	[6,18]    9	[6,19]    6	[6,20]    7	[6,21]    6	[6,22]    8	[6,23]    9	[6,24]    5	[6,25]    3	[6,26]    7	[6,27]    3	[6,28]    9	[6,29]    3	[6,30]    0	[6,31]    6	[6,32]    7	[6,33]    5	[6,34]    4	[6,35]    4	[6,36]    0	[6,37]    6	[6,38]    3	[6,39]    0	[6,40]    0	[6,41]    8	[6,42]    4	[6,43]    6	[6,44]    9	[6,45]    9	[6,46]    4	[6,47]    8	[6,48]    6	[6,49]    9	[6,50]    1	[6,51]    8	[6,52]    6	[6,53]    0	[6,54]    3	[6,55]    6	[6,56]    7	[6,57]    4	[6,58]    6	[6,59]    0	[6,60]    2	[6,61]    6	[6,62]    8	[6,63]    5	[6,64]    2	[6,65]    3	[6,66]    2	[6,67]    4	[6,68]    1	[6,69]    6	[6,70]    7	[6,71]    6	[6,72]    9	[6,73]    1	[6,74]    7	[6,75]    9	[6,76]    6	[6,77]    8	[6,78]    3	[6,79]    0	[6,80]    1	[6,81]    3	[6,82]    5	[6,83]    0	[6,84]    4	[6,85]    9	[6,86]    1	[6,87]    5	[6,88]    5	[6,89]    8	[6,90]    5	[6,91]    1	[6,92]    9	[6,93]    4	[6,94]    8	[6,95]    8	[6,96]    3	[6,97]    7	[6,98]    3	[6,99]    4	[6,100]    6	
[7,1]    5	[7,2]    9	[7,3]    6	[7,4]    9	[7,5]    9	[7,6]    5	[7,7]    0	[7,8]    9	[7,9]    7	[7,10]    2	[7,11]    0	[7,12]    9	[7,13]    9	[7,14]    9	[7,15]    0	[7,16]    9	[7,17]    9	[7,18]    7	[7,19]    7	[7,20]    9	[7,21]    2	[7,22]    2	[7,23]    4	[7,24]    3	[7,25]    4	[7,26]    9	[7,27]    3	[7,28]    1	[7,29]    1	[7,30]    6	[7,31]    0	[7,32]    5	[7,33]    0	[7,34]    4	[7,35]    5	[7,36]    9	[7,37]    3	[7,38]    9	[7,39]    4	[7,40]    4	[7,41]    3	[7,42]    0	[7,43]    7	[7,44]    3	[7,45]    9	[7,46]    4	[7,47]    1	[7,48]    8	[7,49]    4	[7,50]    4	[7,51]    5	[7,52]    6	[7,53]    4	[7,54]    6	[7,55]    1	[7,56]    0	[7,57]    9	[7,58]    4	[7,59]    6	[7,60]    5	[7,61]    6	[7,62]    9	[7,63]    1	[7,64]    8	[7,65]    1	[7,66]    9	[7,67]    5	[7,68]    0	[7,69]    7	[7,70]    5	[7,71]    5	[7,72]    6	[7,73]    5	[7,74]    3	[7,75]    9	[7,76]    6	[7,77]    6	[7,78]    5	[7,79]    4	[7,80]    4	[7,81]    1	[7,82]    7	[7,83]    5	[7,84]    3	[7,85]    0	[7,86]    9	[7,87]    5	[7,88]    3	[7,89]    2	[7,90]    1	[7,91]    8	[7,92]    3	[7,93]    8	[7,94]    0	[7,95]    9	[7,96]    4	[7,97]    9	[7,98]    4	[7,99]    0	[7,100]    3	
[8,1]    1	[8,2]    2	[8,3]    5	[8,4]    5	[8,5]    3	[8,6]    9	[8,7]    9	[8,8]    0	[8,9]    3	[8,10]    0	[8,11]    3	[8,12]    1	[8,13]    8	[8,14]    1	[8,15]    4	[8,16]    1	[8,17]    6	[8,18]    2	[8,19]    8	[8,20]    6	[8,21]    5	[8,22]    5	[8,23]    7	[8,24]    4	[8,25]    9	[8,26]    7	[8,27]    4	[8,28]    4	[8,29]    3	[8,30]    2	[8,31]    4	[8,32]    0	[8,33]    6	[8,34]    7	[8,35]    0	[8,36]    7	[8,37]    9	[8,38]    1	[8,39]    1	[8,40]    9	[8,41]    7	[8,42]    7	[8,43]    8	[8,44]    6	[8,45]    6	[8,46]    2	[8,47]    6	[8,48]    4	[8,49]    7	[8,50]    6	[8,51]    8	[8,52]    1	[8,53]    6	[8,54]    1	[8,55]    4	[8,56]    8	[8,57]    5	[8,58]    8	[8,59]    8	[8,60]    4	[8,61]    3	[8,62]    3	[8,63]    5	[8,64]    5	[8,65]    6	[8,66]    2	[8,67]    5	[8,68]    7	[8,69]    0	[8,70]    7	[8,71]    3	[8,72]    7	[8,73]    0	[8,74]    5	[8,75]    1	[8,76]    2	[8,77]    9	[8,78]    8	[8,79]    9	[8,80]    5	[8,81]    7	[8,82]    8	[8,83]    3	[8,84]    9	[8,85]    4	[8,86]    0	[8,87]    6	[8,88]    9	[8,89]    6	[8,90]    5	[8,91]    1	[8,92]    7	[8,93]    0	[8,94]    6	[8,95]    1	[8,96]    1	[8,97]    0	[8,98]    5	[8,99]    4	[8,100]    6	
[9,1]    3	[9,2]    7	[9,3]    4	[9,4]    5	[9,5]    3	[9,6]    3	[9,7]    7	[9,8]    3	[9,9]    0	[9,10]    5	[9,11]    8	[9,12]    5	[9,13]    2	[9,14]    4	[9,15]    3	[9,16]    6	[9,17]    2	[9,18]    3	[9,19]    3	[9,20]    0	[9,21]    8	[9,22]    2	[9,23]    3	[9,24]    8	[9,25]    0	[9,26]    8	[9,27]    7	[9,28]    6	[9,29]    4	[9,30]    9	[9,31]    8	[9,32]    6	[9,33]    4	[9,34]    1	[9,35]    2	[9,36]    1	[9,37]    0	[9,38]    2	[9,39]    0	[9,40]    2	[9,41]    9	[9,42]    8	[9,43]    1	[9,44]    7	[9,45]    8	[9,46]    7	[9,47]    0	[9,48]    3	[9,49]    6	[9,50]    5	[9,51]    5	[9,52]    0	[9,53]    1	[9,54]    1	[9,55]    8	[9,56]    3	[9,57]    2	[9,58]    0	[9,59]    5	[9,60]    6	[9,61]    9	[9,62]    8	[9,63]    5	[9,64]    0	[9,65]    3	[9,66]    7	[9,67]    6	[9,68]    4	[9,69]    9	[9,70]    2	[9,71]    8	[9,72]    5	[9,73]    7	[9,74]    1	[9,75]    5	[9,76]    4	[9,77]    3	[9,78]    5	[9,79]    8	[9,80]    9	[9,81]    9	[9,82]    2	[9,83]    0	[9,84]    4	[9,85]    0	[9,86]    6	[9,87]    8	[9,88]    9	[9,89]    4	[9,90]    6	[9,91]    0	[9,92]    2	[9,93]    6	[9,94]    5	[9,95]    1	[9,96]    0	[9,97]    5	[9,98]    7	[9,99]    6	[9,100]    1	
[10,1]    4	[10,2]    6	[10,3]    0	[10,4]    5	[10,5]    8	[10,6]    9	[10,7]    2	[10,8]    0	[10,9]    5	[10,10]    0	[10,11]    6	[10,12]    1	[10,13]    8	[10,14]    2	[10,15]    3	[10,16]    6	[10,17]    8	[10,18]    0	[10,19]    3	[10,20]    8	[10,21]    4	[10,22]    5	[10,23]    5	[10,24]    0	[10,25]    7	[10,26]    7	[10,27]    1	[10,28]    5	[10,29]    2	[10,30]    3	[10,31]    8	[10,32]    3	[10,33]    3	[10,34]    6	[10,35]    7	[10,36]    9	[10,37]    5	[10,38]    8	[10,39]    4	[10,40]    5	[10,41]    9	[10,42]    8	[10,43]    2	[10,44]    9	[10,45]    0	[10,46]    9	[10,47]    7	[10,48]    3	[10,49]    1	[10,50]    0	[10,51]    2	[10,52]    0	[10,53]    2	[10,54]    2	[10,55]    1	[10,56]    9	[10,57]    7	[10,58]    0	[10,59]    8	[10,60]    1	[10,61]    4	[10,62]    3	[10,63]    1	[10,64]    5	[10,65]    7	[10,66]    2	[10,67]    9	[10,68]    6	[10,69]    1	[10,70]    1	[10,71]    7	[10,72]    3	[10,73]    9	[10,74]    7	[10,75]    0	[10,76]    0	[10,77]    4	[10,78]    1	[10,79]    4	[10,80]    5	[10,81]    9	[10,82]    9	[10,83]    1	[10,84]    3	[10,85]    6	[10,86]    5	[10,87]    7	[10,88]    4	[10,89]    9	[10,90]    6	[10,91]    2	[10,92]    2	[10,93]    3	[10,94]    5	[10,95]    0	[10,96]    5	[10,97]    8	[10,98]    1	[10,99]    2	[10,100]    4	
