name,mean,std,var,min,max
greedy,289755,0,0,289755,289755
greedy_bestsum,289748,0,0,289748,289748
greedy_bestpair,289729,0,0,289729,289729
greedy_tryall,289755,0,0,289755,289755
uniform_grasp,149850,3281,10767805,145519,155456
linear_HBSS_grasp,157984,3829,14665007,151058,163507
exponential_HBSS_grasp,286897,150,22718,286623,287107
uniform_RCL_grasp,282987,174,30500,282769,283320
linear_RCL_grasp,283024,127,16157,282829,283204
exponential_RCL_grasp,286903,119,14250,286736,287119
ant_system,289755,0,0,289755,289755
